"area_numbe","area_num_1","area","comarea","comarea_id","community","perimeter","shape_area","shape_len","life_expectency","violent_crime_count","per_families_children_below_poverty","per_bachelors","per_no_internet","per_no_HI","per_same_house","per_poor_mh","disconnection_rate","hs_disconnection_rate","covid_death_rate","structural_ranking","covid_impact_ranking","health_ranking","overall_ranking","pr_poverty","pr_no_bachelors","pr_no_internet","pr_no_HI","pr_moved","pr_comm_disconnection","pr_hs_disconnection","pr_covid_death_rate","pr_poor_mh","pr_crime","pr_life_expectency","percent_black_hisp","pr_black_hisp","total","hs_graduation_spr2020","pr_low_hs_grad","partner_count","pr_partner_count"
33,33,0,0,0,"NEAR SOUTH SIDE",0,49769639.4541,45053.1651038,80.0532,460,6.88616175783076,37.0461626928471,5.83330341280972,0.711734455352969,79.4471463300608,8.86821411874708,3.481504,20.025916,122.6277,0.302631578947368,0.0394736842105263,0.0921052631578947,0.04,0.144736842105263,0.0789473684210526,0.0263157894736842,0.0131578947368421,0.855263157894737,0.0921052631578947,0.776315789473684,0.0921052631578947,0.0131578947368421,0.394736842105263,0.289473684210526,0.294108132152533,0.223684210526316,1.28947368421053,86,0.407894736842105,4,0.342105263157895
34,34,0,0,0,"ARMOUR SQUARE",0,27766196.0954,31948.5988398,80.4189,285,32.1935628407139,19.0760600403256,26.9926965872601,21.5461406915092,94.1370286012994,12.7473975057875,7.432025,9.794971,194.1414,0.236842105263158,0.618421052631579,0.394736842105263,0.42,0.815789473684211,0.421052631578947,0.842105263157895,0.736842105263158,0.0394736842105263,0.210526315789474,0.368421052631579,0.328947368421053,0.447368421052632,0.223684210526316,0.236842105263158,0.127049785788152,0.0394736842105263,3.88157894736842,90,0.131578947368421,24,0.815789473684211
10,10,0,0,0,"NORWOOD PARK",0,121959105.47,80368.3743778,80.9651,221,7.98941468816682,24.0252729384437,18.6015547092348,8.51735164627394,92.9493571563623,10.2861140372201,0.010098,0.004392,272.07582,0.0131578947368421,0.776315789473684,0.118421052631579,0.14,0.184210526315789,0.342105263157895,0.5,0.223684210526316,0.105263157894737,0.0263157894736842,0.0526315789473684,0.881578947368421,0.131578947368421,0.144736842105263,0.210526315789474,0.142978919479323,0.0921052631578947,2.39473684210526,89,0.184210526315789,0,0
8,8,0,0,0,"NEAR NORTH SIDE",0,76675895.9728,57293.1649516,82.3812,1727,6.27637045872472,43.0052826648775,5.87511443268227,2.92764450077034,75.6523000844888,8.98779757467323,3.430963,19.71479,70.52236,0.486842105263158,0.0263157894736842,0.0263157894736842,0.07,0.131578947368421,0.0526315789473684,0.0394736842105263,0.0526315789473684,0.947368421052632,0.0789473684210526,0.763157894736842,0.0263157894736842,0.0263157894736842,0.842105263157895,0.0394736842105263,0.138301292355173,0.0657894736842105,1.30263157894737,90,0.131578947368421,6,0.473684210526316
32,32,0,0,0,"LOOP",0,46335565.4586,39428.6729962,81.625,1148,5.44023153365434,38.8539756855513,2.14574565447529,4.88471672984325,63.732563944951,9.43023255813953,3.317561,19.142422,58.3133,0.434210526315789,0,0.0526315789473684,0.05,0.118421052631579,0.0657894736842105,0,0.118421052631579,1,0.0657894736842105,0.75,0.0131578947368421,0.0526315789473684,0.723684210526316,0.0921052631578947,0.165515457250033,0.118421052631579,1.30263157894737,94,0,4,0.342105263157895
43,43,0,0,0,"SOUTH SHORE",0,81812716.3958,44249.6461173,71.1259,3177,36.619744007073,12.7666881668576,25.1294850001005,19.0311758795989,83.1871913115116,15.5103321478088,10.084914,22.53754,320.39339,0.855263157894737,0.934210526315789,0.828947368421053,0.92,0.868421052631579,0.539473684210526,0.776315789473684,0.671052631578947,0.736842105263158,0.552631578947368,0.881578947368421,0.960526315789474,0.802631578947368,0.986842105263158,0.815789473684211,0.960847508206505,0.815789473684211,7.25,79,0.881578947368421,7,0.539473684210526
44,44,0,0,0,"CHATHAM",0,82320670.3112,42006.9450094,73.7709,2020,32.7870858579348,15.9495056078381,28.8301769369602,26.1724055691633,84.314630333892,14.0236270465386,17.545238,18.985098,227.79581,0.828947368421053,0.815789473684211,0.789473684210526,0.87,0.828947368421053,0.473684210526316,0.868421052631579,0.881578947368421,0.684210526315789,0.736842105263158,0.723684210526316,0.631578947368421,0.618421052631579,0.881578947368421,0.697368421052632,0.965124164433106,0.855263157894737,7,78,0.894736842105263,24,0.815789473684211
45,45,0,0,0,"AVALON PARK",0,34852737.7366,27630.822534,72.6333,423,28.7139911634757,13.1460677466863,25.6756406480118,7.90920471281296,90.0025184094256,12.6774668630339,17.572824,18.962753,214.0815,0.657894736842105,0.697368421052632,0.381578947368421,0.67,0.684210526315789,0.513157894736842,0.802631578947368,0.184210526315789,0.328947368421053,0.776315789473684,0.710526315789474,0.5,0.434210526315789,0.368421052631579,0.776315789473684,0.966745598682179,0.868421052631579,5.39473684210526,87,0.302631578947368,21,0.671052631578947
46,46,0,0,0,"SOUTH CHICAGO",0,93272185.0092,52435.9794313,73.3726,1325,29.080418616578,12.1079158920444,20.9488999294827,15.563231296878,89.1293884223348,15.6432912366177,21.21834,17.716572,200.9754,0.75,0.539473684210526,0.723684210526316,0.76,0.710526315789474,0.592105263157895,0.644736842105263,0.539473684210526,0.421052631578947,0.802631578947368,0.592105263157895,0.381578947368421,0.815789473684211,0.75,0.736842105263158,0.962353019775521,0.828947368421053,6.21052631578947,74,0.960526315789474,5,0.421052631578947
47,47,0,0,0,"BURNSIDE",0,16995983.2737,18137.9442529,68.9951,117,0,7.04,42.23,47.18,86.27,13.7,17.555249,18.985788,225.3,0.526315789473684,0.907894736842105,0.934210526315789,0.74,0,0.855263157894737,1,1,0.605263157894737,0.75,0.736842105263158,0.618421052631579,0.592105263157895,0.0131578947368421,0.947368421052632,0.982053838484547,0.973684210526316,5.89473684210526,79,0.881578947368421,24,0.815789473684211
59,59,0,0,0,"MCKINLEY PARK",0,39431799.6479,26014.0968371,81.1919,231,24.0472457084294,13.0080643095055,12.5064066102998,25.0722418652319,88.6598987957981,13.4488470407379,7.427923,9.778526,215.53901,0.276315789473684,0.276315789473684,0.539473684210526,0.36,0.618421052631579,0.526315789473684,0.197368421052632,0.855263157894737,0.460526315789474,0.197368421052632,0.342105263157895,0.526315789473684,0.552631578947368,0.171052631578947,0.144736842105263,0.578045727087039,0.407894736842105,3.67105263157895,84,0.618421052631579,3,0.236842105263158
